artist_id,artist_name,popularity
1939772,thomas bergersen nick phoenix two steps from hell,0.46
3483847,simple minds kt tunstall,0.32
2435154,the hot sardines,0.47
40016,melissa,0.53
1277109,jaa9 onklp,0.46
9248,cyril morin,0.48
563491,the disneyland children 's chorus,0.46
1955857,benny tipene,0.46
365073,do make say think,0.46
36609,it dies today,0.49
2819032,kristen bell,0.61
280713,larry kert,0.46
936632,charles fox,0.41
2118170,hot rotation,0.47
3348978,anna netrebko soprano,0.31
1443302,john moreland,0.47
3457860,ghasper,0.31
22403,merle travis,0.48
18569,charlie barnet,0.48
2709048,prince royce feat jennifer lopez and pitbull,0.38
624032,the dreadnoughts,0.46
1990653,rob starr the hollywood singers orchestra,0.47
586832,ash koosha,0.48
3505750,l'orchestra cinematique belle sara humble simon leigh hulbert,0.31
747976,diante do trono,0.48
422,the beta band,0.51
435795,joseph williams,0.52
388548,lars vaular,0.56
1058152,los alegres del barranco,0.49
2235877,elhae,0.46
2312308,smooth jazz sax instrumentals,0.51
23824,the rascals,0.49
247742,cookin on 3 burners,0.51
2446045,the workout crew,0.47
3337388,fil bo riva,0.31
1337663,pål angelskår,0.48
16966,andré hazes,0.48
2516450,asap mob,0.51
2251,neil sedaka,0.61
2451625,eaves,0.46
1501521,tim mcgraw keith urban taylor swift,0.55
27602,eddie vedder,0.58
421330,waylon jennings and the 357 's,0.46
1884258,smallpools,0.52
245753,joachim pastor,0.51
1147402,canon pachelbel,0.48
309055,industria del amor,0.51
887329,matt cardle,0.54
28967,the showstoppers,0.46
885990,gildas,0.33
874669,keep shelly in athens,0.46
1148136,mia maestro,0.46
2793601,the girl and the dreamcatcher,0.5
1429994,the weeknd juicy j,0.47
1085780,trevino,0.48
93258,marcus,0.46
2473497,dj fit fresh,0.46
424024,iyaz,0.6
17061,george shearing,0.5
18338,s o s band,0.49
16292,albert collins,0.5
485423,skruk,0.46
2578216,sir classic,0.31
249398,richard durand,0.48
36216,yusuf,0.46
10691,kings of tomorrow,0.52
1105924,the magician,0.56
