Cuisine Name,Yelp input value
Soul Food ,soulfood
Soup ,soup
Southern ,southern
Spanish ,spanish
Arroceria / Paella ,arroceria_paella
Sri Lankan ,srilankan
Steakhouses ,steak
Supper Clubs ,supperclubs
Sushi Bars ,sushi
Swabian ,swabian
Swedish ,swedish
Swiss Food ,swissfood
Syrian ,syrian
Tabernas ,tabernas
Taiwanese ,taiwanese
Tapas Bars ,tapas
Tapas/Small Plates ,tapasmallplates
Tavola Calda ,tavolacalda
Tex-Mex ,tex-mex
Thai ,thai
Traditional Norwegian ,norwegian
Traditional Swedish ,traditional_swedish
Trattorie ,trattorie
Turkish ,turkish
Chee Kufta ,cheekufta
Gozleme ,gozleme
Homemade Food ,homemadefood
Lahmacun ,lahmacun
Ottoman Cuisine ,ottomancuisine
Turkish Ravioli ,turkishravioli
Ukrainian ,ukrainian
Uzbek ,uzbek
Vegan ,vegan
Vegetarian ,vegetarian
Venison ,venison
Vietnamese ,vietnamese
Waffles ,waffles
Wok ,wok
Wraps ,wraps
Yugoslav ,yugoslav
