track_id,artist_id,title,popularity,album_id
50197605,468577,army,0.37,4942629
50197624,468577,devotion,0.38,4942629
50197546,468577,love me like you do,0.41,4942629
50197505,468577,on my mind,0.48,4942629
57384990,468577,still falling for you,0.37,5718550
12956166,468577,your biggest mistake,0.41,1169521
12956167,468577,salt skin,0.4,1169521
12956169,468577,your song,0.43,1169521
12956162,468577,the writer,0.41,1169521
12956163,468577,animal,0.41,1169521
12956164,468577,every time you go,0.41,1169521
12956158,468577,guns and horses,0.41,1169521
12956159,468577,starry eyed,0.43,1169521
12956160,468577,this love will be your downfall,0.41,1169521
12956161,468577,under the sheets,0.41,1169521
12956156,468577,lights,0.5,1169521
36302158,468577,goodness gracious,0.39,3448809
50199497,468577,army,0.39,4942587
50199424,468577,love me like you do,0.38,4942587
50199337,468577,on my mind,0.39,4942587
36884750,468577,beating heart,0.37,3505789
36884749,468577,beating heart,0.4,3505789
36884752,468577,beating heart,0.37,3505789
30990251,468577,how long will i love you,0.41,2902497
30990252,468577,tessellate,0.36,2902497
30990238,468577,lights,0.36,2902497
30990231,468577,figure 8,0.38,2902497
30990244,468577,burn,0.37,2902497
30990239,468577,i need your love,0.43,2902497
30990226,468577,my blood,0.36,2902497
30990224,468577,don't say a word,0.37,2902497
50216385,468577,something in the way you move,0.42,4942560
50216390,468577,on my mind,0.39,4942560
50216399,468577,don't panic,0.36,4942560
50216400,468577,we can't move to this,0.36,4942560
50216396,468577,holding on for life,0.36,4942560
50216397,468577,love me like you do,0.38,4942560
50216398,468577,don't need nobody,0.37,4942560
10724644,468577,guns and horses,0.36,976256
10724643,468577,starry eyed,0.37,976256
10724646,468577,lights,0.4,976256
10724645,468577,the writer,0.38,976256
21306448,468577,anything could happen,0.4,1965562
21087480,468577,anything could happen,0.45,1927498
42295646,468577,love me like you do,0.51,4082693
49709721,468577,aftertaste,0.38,4899020
49709779,468577,something in the way you move,0.4,4899020
49709717,468577,intro delirium,0.39,4899020
49709836,468577,on my mind,0.42,4899020
49709811,468577,keep on dancin,0.39,4899020
49709898,468577,codes,0.36,4899020
49709863,468577,around u,0.36,4899020
49710040,468577,army,0.36,4899020
59113457,468577,still falling for you,0.36,5923819
15234718,468577,under the sheets,0.37,1379976
15234717,468577,starry eyed,0.36,1379976
15234716,468577,salt skin,0.36,1379976
15234714,468577,lights,0.38,1379976
15234712,468577,this love will be your downfall,0.37,1379976
15234710,468577,run into the light,0.36,1379976
50197053,468577,around u,0.39,4942599
50197044,468577,on my mind,0.42,4942599
50197022,468577,keep on dancin,0.39,4942599
50196995,468577,aftertaste,0.39,4942599
50197000,468577,something in the way you move,0.45,4942599
50197115,468577,love me like you do,0.4,4942599
50186069,468577,intro delirium,0.39,4942599
49830024,468577,on my mind,0.42,4911335
49830020,468577,on my mind,0.37,4911335
22622996,468577,anything could happen,0.36,2094590
22622978,468577,anything could happen,0.37,2094590
22622970,468577,anything could happen,0.36,2094590
49769639,468577,love me like you do,0.37,4906738
48689925,468577,on my mind,0.47,4802158
30620354,468577,burn,0.47,2860987
20994411,468577,starry eyed,0.39,1936314
20994413,468577,under the sheets,0.36,1936314
20994422,468577,lights,0.41,1936314
20994421,468577,salt skin,0.36,1936314
20994427,468577,animal,0.36,1936314
20994429,468577,your song,0.41,1936314
14739379,468577,lights,0.36,1333546
14739377,468577,lights,0.36,1333546
14739376,468577,lights,0.36,1333546
14739374,468577,lights,0.37,1333546
14739371,468577,lights,0.37,1333546
12709878,468577,starry eyed,0.37,1148933
57014652,468577,still falling for you,0.37,5674213
13837882,468577,lights,0.37,1252311
13837880,468577,lights,0.37,1252311
13837879,468577,lights,0.38,1252311
13837877,468577,lights,0.43,1252311
49830264,468577,on my mind,0.36,4911359
49830269,468577,codes,0.37,4911359
58244977,469007,born again,0.43,5820634
38807871,469007,my type,0.39,3715767
58479603,469007,happy accidents,0.37,5849091
58479602,469007,slow motion,0.37,5849091
58479601,469007,local long distance relationship la2ny,0.37,5849091
58479600,469007,for elise,0.38,5849091
58479599,469007,you can be you,0.38,5849091
58479598,469007,sweet talk,0.37,5849091
58479597,469007,born again,0.37,5849091
58479596,469007,destroyer,0.41,5849091
58479595,469007,getaway,0.41,5849091
58479594,469007,move,0.45,5849091
17130876,469694,las cosas pequeñas,0.39,1554571
41190914,469694,soy el mismo,0.36,3971544
41190975,469694,solita,0.37,3971544
43015645,469694,my angel,0.36,4163801
49768913,469694,culpa al corazón,0.42,4906724
46423921,469694,stuck on a feeling,0.4,4558975
46423934,469694,back it up video version,0.4,4558975
46423955,469694,seal it with a kiss,0.36,4558975
31654596,469694,soy el mismo,0.37,2969499
31654605,469694,me encanta,0.36,2969499
31654598,469694,te robaré,0.38,2969499
31654600,469694,darte un beso,0.39,2969499
31654618,469694,te regalo el mar,0.38,2969499
31654616,469694,nada,0.36,2969499
31654607,469694,tu príncipe,0.37,2969499
31654613,469694,kiss kiss,0.36,2969499
31654612,469694,invisible,0.36,2969499
35588212,469694,stand by me,0.38,3372565
35588215,469694,tu y yo,0.36,3372565
35588214,469694,corazon sin cara,0.37,3372565
55801437,472610,leavin wit me feat fetty wap,0.36,5540810
40169183,474644,borderline,0.36,3865950
41082823,474644,borderline,0.38,3960316
42470269,474644,borderline,0.38,4101961
42470270,474644,who 's got news,0.36,4101961
42470271,474644,number one,0.4,4101961
42470276,474644,brag,0.36,4101961
42470266,474644,snaren,0.36,4101961
42470267,474644,ego,0.36,4101961
42470268,474644,samurai boy,0.36,4101961
55228564,551442,dimaggio,0.36,5477256
45544471,553394,øle ekje klart,0.36,4460574
45544454,553394,milf og pils,0.36,4460574
45544432,553394,kurwa kurwa,0.36,4460574
17568505,556995,mind your manners feat icona pop,0.37,1600555
59434561,2402444,hunger of the pine,0.39,5964495
59434571,2402444,love is not enough,0.4,5964495
59434592,2402444,öldurót,0.38,5964495
59434608,2402444,luv deluxe,0.36,5964495
22171603,2406969,die young remix,0.37,2052828
59696119,2408543,the first noel,0.36,5996609
59405080,2412997,blank you out,0.38,5960415
51464673,2412997,missing,0.36,5065697
51464674,2412997,give me something,0.37,5065697
51464675,2412997,wildfire,0.38,5065697
51464676,2412997,breathe,0.36,5065697
51464677,2412997,oceans,0.37,5065697
51464678,2412997,over,0.36,5065697
51464679,2412997,tell me it 's real,0.36,5065697
51464680,2412997,be there,0.37,5065697
51464681,2412997,beauty on the breeze,0.36,5065697
51464682,2412997,atlantis,0.37,5065697
51464683,2412997,skimming stones,0.36,5065697
51464684,2412997,there 's a light,0.36,5065697
51464686,2412997,out of nowhere,0.36,5065697
51464685,2412997,to the sea,0.36,5065697
51464688,2412997,oceans bbc live version,0.36,5065697
51464687,2412997,overtime,0.36,5065697
48795305,2412997,drown,0.37,4813902
39452031,2415484,we make it bounce,0.4,3790131
45663031,2415608,summertime,0.37,4477481
39742124,2415678,you and me,0.36,3822830
39422452,2415697,body language,0.41,3787255
39422449,2415697,body language,0.48,3787254
43923559,2495887,badman torro torro remix,0.36,4271416
41189231,2497570,flawless remix,0.47,3971217
41189512,2497570,flawless remix,0.45,3971262
41189235,2497571,standing on the sun remix,0.42,3971218
41189532,2497592,drunk in love remix,0.45,3971265
41189518,2497592,drunk in love remix,0.46,3971263
41189525,2497593,blow remix,0.4,3971264
59752567,2497978,game of survival,0.37,6004961
41214453,2499328,time of our lives,0.44,3974777
41214447,2499328,time of our lives,0.47,3974776
19991496,716325,bom bom radio edit,0.4,1845856
58625138,2501206,let me explain,0.4,5865420
48512869,2501206,exchange,0.51,4782112
48512870,2501206,for however long,0.46,4782112
48512867,2501206,intro difference,0.46,4782112
48512868,2501206,let em know,0.48,4782112
48512886,2501206,right my wrongs,0.47,4782112
48512883,2501206,overtime,0.46,4782112
48512874,2501206,the sequence,0.46,4782112
48512873,2501206,ten nine fourteen,0.46,4782112
48512872,2501206,open interlude,0.46,4782112
48512871,2501206,don't,0.51,4782112
48512880,2501206,been that way,0.48,4782112
48512878,2501206,sorry not sorry,0.48,4782112
48512876,2501206,502 come up,0.47,4782112
48512875,2501206,rambo,0.47,4782112
58625137,2501206,let me explain,0.5,5865419
48512810,2501206,exchange,0.37,4782108
48512806,2501206,intro difference,0.41,4782108
48512819,2501206,rambo,0.4,4782108
48512813,2501206,don't,0.43,4782108
47770887,2501206,sorry not sorry,0.41,4698818
45531186,2501206,don't,0.41,4459579
58956259,2501206,opinions,0.39,5905697
58956258,2501206,paranoid,0.39,5905697
58956261,2501206,newbie,0.39,5905697
58956260,2501206,trust issues,0.4,5905697
58956257,2501206,first call intro,0.39,5905697
58956267,2501206,second call interlude,0.39,5905697
58956262,2501206,love faces,0.39,5905697
58956265,2501206,he don't,0.39,5905697
58956264,2501206,mastermind,0.39,5905697
58956275,2501206,i know how to party,0.39,5905697
58956276,2501206,thank you r b,0.39,5905697
58956277,2501206,last call outro,0.39,5905697
58956272,2501206,hardcore,0.39,5905697
45531179,2501206,don't,0.45,4459577
9863504,717749,sikamikanico,0.37,896346
9863500,717749,bohemian rhapsody,0.37,896346
9863508,717749,foxy lady,0.36,896346
41272114,2502010,icanteven,0.37,3981913
37413793,2502231,all of me,0.39,3560168
49216560,2504053,rivers sam feldt de hofnar remix,0.36,4853924
46461368,2504053,rivers,0.37,4563747
49349484,2504053,rivers feat nico vinz,0.36,4864947
41338923,2505301,stuck on a feeling,0.37,3986997
41357224,2505383,do it now,0.36,3987165
9905292,724557,paradox,0.37,900021
9905302,724557,time,0.43,900021
9905260,724557,we built our own world,0.38,900021
9905266,724557,dream is collapsing,0.39,900021
9905271,724557,radical notion,0.38,900021
9905277,724557,old souls,0.38,900021
9905283,724557,528491,0.38,900021
9905288,724557,dream within a dream,0.38,900021
9905286,724557,mombasa,0.38,900021
41386796,2507547,piensas dile la verdad,0.41,3991516
51242188,3134407,wrist,0.41,5043698
51242084,3134407,wrist,0.38,5043692
51242935,3134433,overcome,0.39,5043777
3155962,259280,i don't want to miss a thing,0.4,282255
58749909,259602,day n nite,0.37,5880018
23564168,259602,immortal,0.37,2188703
59684065,259602,frequency,0.42,5994878
59684066,259602,swim in the light,0.42,5994878
59684084,259602,surfin,0.42,5994878
59684083,259602,the commander,0.42,5994878
59684075,259602,does it,0.42,5994878
59684076,259602,dance 4 eternity,0.42,5994878
59684077,259602,distant fantasies,0.42,5994878
59684078,259602,wounds,0.42,5994878
59684079,259602,mature nature,0.42,5994878
59684080,259602,kitchen,0.42,5994878
59684081,259602,cosmic warrior,0.42,5994878
59684082,259602,the guide,0.42,5994878
59684067,259602,releaser,0.42,5994878
59684068,259602,by design,0.42,5994878
59684069,259602,all in,0.42,5994878
59684070,259602,illusions,0.42,5994878
59684072,259602,rose golden,0.42,5994878
59684073,259602,baptized in fire,0.42,5994878
59684074,259602,flight at first sight advanced,0.42,5994878
20856716,259602,pursuit of happiness nightmare,0.36,1924357
20856710,259602,day n nite nightmare,0.36,1924357
6392956,259602,pursuit of happiness nightmare,0.39,576858
5975375,259602,day n nite,0.38,539786
21520209,259602,king wizard,0.36,1987882
50322246,259602,confused,0.36,4954192
50322244,259602,edge of the earth post mortem boredom,0.36,4954192
6393099,259602,up up away,0.36,576873
6393079,259602,pursuit of happiness nightmare,0.4,576873
6393071,259602,make her say,0.36,576873
6393105,259602,man on the moon,0.37,576873
6393028,259602,day n nite nightmare,0.39,576873
